Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Friday, Jul 19",ATL,Home,STL,,,,,,,,,,,,,,,,
"Saturday, Jul 20",ATL,Home,STL,,,,,,,,,,,,,,,,
"Sunday, Jul 21",ATL,Home,STL,,,,,,,,,,,,,,,,
"Monday, Jul 22",ATL,Home,CIN,,,,,,,,,,,,,,,,
"Tuesday, Jul 23",ATL,Home,CIN,,,,,,,,,,,,,,,,
"Wednesday, Jul 24",ATL,Home,CIN,,,,,,,,,,,,,,,,
"Thursday, Jul 25",ATL,@,NYM,,,,,,,,,,,,,,,,
"Friday, Jul 26",ATL,@,NYM,,,,,,,,,,,,,,,,
"Saturday, Jul 27",ATL,@,NYM,,,,,,,,,,,,,,,,
"Sunday, Jul 28",ATL,@,NYM,,,,,,,,,,,,,,,,
"Monday, Jul 29",ATL,@,MIL,,,,,,,,,,,,,,,,
"Tuesday, Jul 30",ATL,@,MIL,,,,,,,,,,,,,,,,
"Wednesday, Jul 31",ATL,@,MIL,,,,,,,,,,,,,,,,
"Thursday, Aug 1",ATL,Home,MIA,,,,,,,,,,,,,,,,
"Friday, Aug 2",ATL,Home,MIA,,,,,,,,,,,,,,,,
"Saturday, Aug 3",ATL,Home,MIA,,,,,,,,,,,,,,,,
"Sunday, Aug 4",ATL,Home,MIA,,,,,,,,,,,,,,,,
"Tuesday, Aug 6",ATL,Home,MIL,,,,,,,,,,,,,,,,
"Wednesday, Aug 7",ATL,Home,MIL,,,,,,,,,,,,,,,,
"Thursday, Aug 8",ATL,Home,MIL,,,,,,,,,,,,,,,,
"Friday, Aug 9",ATL,@,COL,,,,,,,,,,,,,,,,
"Saturday, Aug 10",ATL,@,COL,,,,,,,,,,,,,,,,
"Sunday, Aug 11",ATL,@,COL,,,,,,,,,,,,,,,,
"Monday, Aug 12",ATL,@,SFG,,,,,,,,,,,,,,,,
"Tuesday, Aug 13",ATL,@,SFG,,,,,,,,,,,,,,,,
"Wednesday, Aug 14",ATL,@,SFG,,,,,,,,,,,,,,,,
"Thursday, Aug 15",ATL,@,SFG,,,,,,,,,,,,,,,,
"Friday, Aug 16",ATL,@,LAA,,,,,,,,,,,,,,,,
"Saturday, Aug 17",ATL,@,LAA,,,,,,,,,,,,,,,,
"Sunday, Aug 18",ATL,@,LAA,,,,,,,,,,,,,,,,
"Tuesday, Aug 20",ATL,Home,PHI,,,,,,,,,,,,,,,,
"Wednesday, Aug 21",ATL,Home,PHI,,,,,,,,,,,,,,,,
"Thursday, Aug 22",ATL,Home,PHI,,,,,,,,,,,,,,,,
"Friday, Aug 23",ATL,Home,WSN,,,,,,,,,,,,,,,,
"Saturday, Aug 24",ATL,Home,WSN,,,,,,,,,,,,,,,,
"Sunday, Aug 25",ATL,Home,WSN,,,,,,,,,,,,,,,,
"Monday, Aug 26",ATL,@,MIN,,,,,,,,,,,,,,,,
"Tuesday, Aug 27",ATL,@,MIN,,,,,,,,,,,,,,,,
"Wednesday, Aug 28",ATL,@,MIN,,,,,,,,,,,,,,,,
"Thursday, Aug 29",ATL,@,PHI,,,,,,,,,,,,,,,,
"Friday, Aug 30",ATL,@,PHI,,,,,,,,,,,,,,,,
"Saturday, Aug 31",ATL,@,PHI,,,,,,,,,,,,,,,,
"Sunday, Sep 1",ATL,@,PHI,,,,,,,,,,,,,,,,
"Tuesday, Sep 3",ATL,Home,COL,,,,,,,,,,,,,,,,
