game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,losing_Team
716855,2023-08-25T23:10:00Z,2023-08-25,R,Final,Los Angeles Angels,New York Mets,108,121,N,1,Kodai Senga,Patrick Sandoval,,,3,1,9,Bottom,3289,Citi Field,[],LAA leads 1-0,Los Angeles Angels,New York Mets,Patrick Sandoval,Kodai Senga,Carlos Estévez,2023-08-25 - Los Angeles Angels (3) @ New York Mets (1) (Final),
716856,2023-08-25T23:10:00Z,2023-08-25,R,Final,Oakland Athletics,Chicago White Sox,133,145,N,1,Dylan Cease,Zach Neal,,,12,4,9,Bottom,4,Guaranteed Rate Field,[],OAK leads 2-0,Oakland Athletics,Chicago White Sox,Zach Neal,Dylan Cease,,2023-08-25 - Oakland Athletics (12) @ Chicago White Sox (4) (Final),
716850,2023-08-26T00:10:00Z,2023-08-25,R,Final,Texas Rangers,Minnesota Twins,140,142,N,1,Sonny Gray,Dane Dunning,,,2,12,9,Top,3312,Target Field,[],MIN leads 2-0,Minnesota Twins,Texas Rangers,Sonny Gray,Dane Dunning,,2023-08-25 - Texas Rangers (2) @ Minnesota Twins (12) (Final),
716857,2023-08-26T00:10:00Z,2023-08-25,R,Final,San Diego Padres,Milwaukee Brewers,135,158,N,1,Brandon Woodruff,Yu Darvish,,,3,7,9,Top,32,American Family Field,[],MIL leads 1-0,Milwaukee Brewers,San Diego Padres,Brandon Woodruff,Yu Darvish,,2023-08-25 - San Diego Padres (3) @ Milwaukee Brewers (7) (Final),
716851,2023-08-26T01:40:00Z,2023-08-25,R,Final,Cincinnati Reds,Arizona Diamondbacks,113,109,N,1,Brandon Pfaadt,Hunter Greene,,,8,10,9,Top,15,Chase Field,[],AZ leads 2-0,Arizona Diamondbacks,Cincinnati Reds,Brandon Pfaadt,Hunter Greene,Kevin Ginkel,2023-08-25 - Cincinnati Reds (8) @ Arizona Diamondbacks (10) (Final),
716853,2023-08-26T02:10:00Z,2023-08-25,R,Final,Kansas City Royals,Seattle Mariners,118,136,N,1,Bryce Miller,Brady Singer,,,5,7,9,Top,680,T-Mobile Park,"['Apple TV+', 'MLB.tv Free Game']",SEA leads 1-0,Seattle Mariners,Kansas City Royals,Isaiah Campbell,Brady Singer,Andrés Muñoz,2023-08-25 - Kansas City Royals (5) @ Seattle Mariners (7) (Final),
716852,2023-08-26T02:15:00Z,2023-08-25,R,Final,Atlanta Braves,San Francisco Giants,144,137,N,1,Logan Webb,Spencer Strider,,,5,1,9,Bottom,2395,Oracle Park,['MLBN (out-of-market only)'],ATL leads 1-0,Atlanta Braves,San Francisco Giants,Spencer Strider,Logan Webb,,2023-08-25 - Atlanta Braves (5) @ San Francisco Giants (1) (Final),
716846,2023-08-26T19:07:00Z,2023-08-26,R,Final,Cleveland Guardians,Toronto Blue Jays,114,141,N,1,Hyun Jin Ryu,Logan Allen,,,3,8,9,Top,14,Rogers Centre,"['MLBN (out-of-market only)', 'MLB.tv Free Game']",Series tied 1-1,Toronto Blue Jays,Cleveland Guardians,Hyun Jin Ryu,Logan Allen,,2023-08-26 - Cleveland Guardians (3) @ Toronto Blue Jays (8) (Final),
716848,2023-08-26T20:05:00Z,2023-08-26,R,Final,Atlanta Braves,San Francisco Giants,144,137,N,1,Ryan Walker,Max Fried,,,7,3,9,Bottom,2395,Oracle Park,['FS1'],ATL wins 2-0,Atlanta Braves,San Francisco Giants,Max Fried,Sean Manaea,,2023-08-26 - Atlanta Braves (7) @ San Francisco Giants (3) (Final),
716849,2023-08-26T20:10:00Z,2023-08-26,R,Final,Los Angeles Dodgers,Boston Red Sox,119,111,N,1,James Paxton,Julio Urías,,,5,8,9,Top,3,Fenway Park,[],Series tied 1-1,Boston Red Sox,Los Angeles Dodgers,Brennan Bernardino,Julio Urías,John Schreiber,2023-08-26 - Los Angeles Dodgers (5) @ Boston Red Sox (8) (Final),
716832,2023-08-26T20:10:00Z,2023-08-26,R,Final,Kansas City Royals,Seattle Mariners,118,136,N,1,Logan Gilbert,Jordan Lyles,,,2,15,9,Top,680,T-Mobile Park,[],SEA wins 2-0,Seattle Mariners,Kansas City Royals,Logan Gilbert,Jordan Lyles,,2023-08-26 - Kansas City Royals (2) @ Seattle Mariners (15) (Final),
716844,2023-08-26T20:10:00Z,2023-08-26,R,Final,Washington Nationals,Miami Marlins,120,146,N,1,Eury Pérez,Jake Irvin,,,3,2,9,Bottom,4169,loanDepot park,[],WSH wins 2-0,Washington Nationals,Miami Marlins,Jordan Weems,David Robertson,Kyle Finnegan,2023-08-26 - Washington Nationals (3) @ Miami Marlins (2) (Final),
716845,2023-08-26T20:10:00Z,2023-08-26,R,Final,New York Yankees,Tampa Bay Rays,147,139,N,1,Tyler Glasnow,Clarke Schmidt,,,0,3,9,Top,12,Tropicana Field,[],Series tied 1-1,Tampa Bay Rays,New York Yankees,Tyler Glasnow,Clarke Schmidt,Pete Fairbanks,2023-08-26 - New York Yankees (0) @ Tampa Bay Rays (3) (Final),
716843,2023-08-26T22:10:00Z,2023-08-26,R,Final,Houston Astros,Detroit Tigers,117,116,N,1,Eduardo Rodriguez,Hunter Brown,,,9,2,9,Bottom,2394,Comerica Park,[],Series tied 1-1,Houston Astros,Detroit Tigers,Hunter Brown,Eduardo Rodriguez,,2023-08-26 - Houston Astros (9) @ Detroit Tigers (2) (Final),
716837,2023-08-26T23:05:00Z,2023-08-26,R,Final,Colorado Rockies,Baltimore Orioles,115,110,N,1,Kyle Bradish,Chris Flexen,,,4,5,9,Top,2,Oriole Park at Camden Yards,[],BAL wins 2-0,Baltimore Orioles,Colorado Rockies,Kyle Bradish,Chris Flexen,Yennier Cano,2023-08-26 - Colorado Rockies (4) @ Baltimore Orioles (5) (Final),
716840,2023-08-26T23:10:00Z,2023-08-26,R,Final,Los Angeles Angels,New York Mets,108,121,N,1,Carlos Carrasco,Chase Silseth,,,5,3,9,Bottom,3289,Citi Field,[],LAA wins 2-0,Los Angeles Angels,New York Mets,Aaron Loup,Carlos Carrasco,Carlos Estévez,2023-08-26 - Los Angeles Angels (5) @ New York Mets (3) (Final),
716841,2023-08-26T23:10:00Z,2023-08-26,R,Final,Oakland Athletics,Chicago White Sox,133,145,N,1,Touki Toussaint,JP Sears,,,2,6,9,Top,4,Guaranteed Rate Field,[],OAK leads 2-1,Chicago White Sox,Oakland Athletics,Touki Toussaint,JP Sears,,2023-08-26 - Oakland Athletics (2) @ Chicago White Sox (6) (Final),
716838,2023-08-26T23:10:00Z,2023-08-26,R,Final,San Diego Padres,Milwaukee Brewers,135,158,N,1,Freddy Peralta,Pedro Avila,,,4,5,9,Top,32,American Family Field,[],MIL wins 2-0,Milwaukee Brewers,San Diego Padres,Freddy Peralta,Pedro Avila,Devin Williams,2023-08-26 - San Diego Padres (4) @ Milwaukee Brewers (5) (Final),
716842,2023-08-26T23:15:00Z,2023-08-26,R,Final,Chicago Cubs,Pittsburgh Pirates,112,134,N,1,Colin Selby,Jordan Wicks,,,10,6,9,Bottom,31,PNC Park,['FOX'],CHC leads 2-1,Chicago Cubs,Pittsburgh Pirates,Jordan Wicks,Osvaldo Bido,Adbert Alzolay,2023-08-26 - Chicago Cubs (10) @ Pittsburgh Pirates (6) (Final),
716839,2023-08-26T23:15:00Z,2023-08-26,R,Final,Texas Rangers,Minnesota Twins,140,142,N,1,Joe Ryan,Max Scherzer,,,6,2,9,Bottom,3312,Target Field,['FOX'],MIN leads 2-1,Texas Rangers,Minnesota Twins,Brock Burke,Griffin Jax,,2023-08-26 - Texas Rangers (6) @ Minnesota Twins (2) (Final),
716847,2023-08-26T23:15:00Z,2023-08-26,R,Final,St. Louis Cardinals,Philadelphia Phillies,138,143,N,1,Zack Wheeler,Dakota Hudson,,,1,12,9,Top,2681,Citizens Bank Park,['FOX'],PHI wins 2-0,Philadelphia Phillies,St. Louis Cardinals,Zack Wheeler,Dakota Hudson,,2023-08-26 - St. Louis Cardinals (1) @ Philadelphia Phillies (12) (Final),
716833,2023-08-27T00:10:00Z,2023-08-26,R,Final,Cincinnati Reds,Arizona Diamondbacks,113,109,N,1,Zach Davies,Fernando Cruz,,,8,7,11,Bottom,15,Chase Field,[],AZ leads 2-1,Cincinnati Reds,Arizona Diamondbacks,Alexis Díaz,Nabil Crismatt,Lucas Sims,2023-08-26 - Cincinnati Reds (8) @ Arizona Diamondbacks (7) (Final),
716829,2023-08-27T16:05:00Z,2023-08-27,R,Final,Los Angeles Angels,New York Mets,108,121,N,1,David Peterson,Griffin Canning,,,2,3,9,Bottom,3289,Citi Field,"['Peacock', 'MLB.tv Free Game']",LAA wins 2-1,New York Mets,Los Angeles Angels,Adam Ottavino,Reynaldo López,,2023-08-27 - Los Angeles Angels (2) @ New York Mets (3) (Final),
716836,2023-08-27T17:35:00Z,2023-08-27,R,Final,Colorado Rockies,Baltimore Orioles,115,110,N,1,Jack Flaherty,Ty Blach,,,4,3,9,Bottom,2,Oriole Park at Camden Yards,[],BAL wins 2-1,Colorado Rockies,Baltimore Orioles,Justin Lawrence,Yennier Cano,,2023-08-27 - Colorado Rockies (4) @ Baltimore Orioles (3) (Final),
716831,2023-08-27T17:35:00Z,2023-08-27,R,Final,Los Angeles Dodgers,Boston Red Sox,119,111,N,1,Tanner Houck,Caleb Ferguson,,,7,4,9,Bottom,3,Fenway Park,['MLBN (out-of-market only)'],LAD wins 2-1,Los Angeles Dodgers,Boston Red Sox,Gavin Stone,Tanner Houck,Evan Phillips,2023-08-27 - Los Angeles Dodgers (7) @ Boston Red Sox (4) (Final),
716834,2023-08-27T17:35:00Z,2023-08-27,R,Final,Chicago Cubs,Pittsburgh Pirates,112,134,N,1,Bailey Falter,Javier Assad,,,10,1,9,Bottom,31,PNC Park,[],CHC wins 3-1,Chicago Cubs,Pittsburgh Pirates,Javier Assad,Bailey Falter,,2023-08-27 - Chicago Cubs (10) @ Pittsburgh Pirates (1) (Final),
