Game Time,Home Team,Away Team,Home Wager %,Away Wager %,Home Opener Odds,Away Opener Odds
2022-03-27 01:05:00,Kansas City,LA Dodgers,N/A,N/A,116,-136
2022-03-27 17:05:00,Tampa Bay,Atlanta,N/A,N/A,-132,112
2022-03-27 17:05:00,Miami,Houston,N/A,N/A,-116,-102
2022-03-27 17:05:00,NY Yankees,Pittsburgh,N/A,N/A,-210,176
2022-03-27 17:05:00,Minnesota,Boston,N/A,N/A,-132,112
2022-03-27 17:05:00,Baltimore,Detroit,N/A,N/A,112,-132
2022-03-27 17:07:00,Toronto,Philadelphia,N/A,N/A,-142,120
2022-03-27 17:10:00,NY Mets,St. Louis,N/A,N/A,-220,184
2022-03-27 20:05:00,LA Dodgers,Chi. White Sox,N/A,N/A,-142,120
2022-03-27 20:05:00,Texas,Arizona,N/A,N/A,0,0
2022-03-27 20:05:00,Chi. Cubs,Kansas City,N/A,N/A,-132,112
2022-03-27 20:05:00,Cincinnati,Colorado,N/A,N/A,0,0
2022-03-27 20:10:00,LA Angels,San Francisco,N/A,N/A,-120,102
2022-03-27 20:10:00,San Diego,Cleveland,N/A,N/A,-146,124
2022-03-27 20:10:00,Arizona,Colorado,N/A,N/A,0,0
2022-03-28 17:05:00,Philadelphia,Baltimore,N/A,N/A,-166,140
2022-03-28 17:05:00,Detroit,NY Yankees,N/A,N/A,100,-118
2022-03-28 17:05:00,Washington,Miami,N/A,N/A,-118,100
2022-03-28 17:05:00,Atlanta,Toronto,N/A,N/A,-112,-104
2022-03-28 17:05:00,St. Louis,Houston,N/A,N/A,-118,100
2022-03-28 20:05:00,Kansas City,Cleveland,N/A,N/A,-130,110
2022-03-28 20:05:00,Chi. White Sox,San Diego,N/A,N/A,-136,116
2022-03-28 20:10:00,Milwaukee,San Francisco,N/A,N/A,-136,116
2022-03-28 20:10:00,LA Angels,Oakland,N/A,N/A,-154,130
2022-03-28 20:10:00,Seattle,Texas,N/A,N/A,-130,110
2022-03-28 20:10:00,Arizona,LA Dodgers,N/A,N/A,154,-184
2022-03-29 01:05:00,Cincinnati,Chi. Cubs,N/A,N/A,-130,110
2022-03-29 17:05:00,Pittsburgh,Boston,N/A,N/A,120,-142
2022-03-29 17:05:00,NY Yankees,Philadelphia,N/A,N/A,-132,112
2022-03-29 17:05:00,Tampa Bay,Minnesota,N/A,N/A,-146,124
2022-03-29 17:05:00,Houston,Washington,N/A,N/A,-168,142
2022-03-29 20:05:00,Cleveland,Milwaukee,N/A,N/A,108,-126
2022-03-29 20:05:00,Texas,Cincinnati,N/A,N/A,-132,112
2022-03-29 20:05:00,San Francisco,San Diego,N/A,N/A,-136,116
2022-03-29 20:05:00,Chi. Cubs,Arizona,N/A,N/A,-152,128
